version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Baseline starter,Do hanh vi v0 chua sua prompt,case_accuracy,0.0,0.70,runs/v0_B_base_openai_20260915T184504437109.json
v1,Trieu,system_prompt.md,v1+pfd0f98f8db3c+td4848549884e,fd0f98f8db3c29937dde64a66c403bda142c4e6256e65184430fc26be4b85546,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Khac phuc loi routing&goi thua tool,Bo sung quy tac phan biet EMP va AST va tham so check trong prompt,case_accuracy,0.70,0.8333,runs/v1_B_base_openai_20260915T191249685924.json
